iter	MultiClass
0	1.078391803
1	1.059941756
2	1.042640126
3	1.026163211
4	1.010734795
5	0.9963368
6	0.9827495826
7	0.9700693433
8	0.9576752196
9	0.9466682084
10	0.9359043495
11	0.9256782503
12	0.9159731996
13	0.9071009429
14	0.8983562
15	0.8899630045
16	0.882189506
17	0.8743823502
18	0.867242096
19	0.8606741312
20	0.8541194973
21	0.848025532
22	0.8419964836
23	0.8363390514
24	0.8309203914
25	0.8257537802
26	0.8206722289
27	0.8158937188
28	0.8114367477
29	0.8071043945
30	0.8026904952
31	0.7985924674
32	0.7946849981
33	0.7912760273
34	0.787611774
35	0.7842049482
36	0.7808953633
37	0.7778669278
38	0.774711207
39	0.7719515012
40	0.7692038153
41	0.7666919558
42	0.7637064493
43	0.7611506989
44	0.7585821469
45	0.7563929262
46	0.7541409142
47	0.7516289366
48	0.7498196441
49	0.7474041647
50	0.7451685519
51	0.7431726769
52	0.7414658796
53	0.7397158481
54	0.7381913968
55	0.7364588132
56	0.7347521064
57	0.7333079129
58	0.7318052372
59	0.7304414859
60	0.7292147658
61	0.7278131736
62	0.7265354817
63	0.725341765
64	0.7241227242
65	0.722664854
66	0.7211897663
67	0.7200029151
68	0.7187772335
69	0.7177722949
70	0.7165056174
71	0.7152395687
72	0.7143137216
73	0.7134319177
74	0.7125436203
75	0.7115517182
76	0.7103704266
77	0.7096246417
78	0.7089590138
79	0.7081934813
80	0.7074141682
81	0.7068267344
82	0.7062364039
83	0.7056102623
84	0.7049297555
85	0.7043894626
86	0.7035301251
87	0.7029316641
88	0.7024166079
89	0.7018520138
90	0.7012945766
91	0.7008298163
92	0.7001790534
93	0.6996713257
94	0.6989157128
95	0.698327203
96	0.6980268781
97	0.6973436326
98	0.6969786155
99	0.6962909125
100	0.6959035389
101	0.6954661123
102	0.6948650009
103	0.6944251269
104	0.6940352102
105	0.6936453133
106	0.6932351565
107	0.6929218488
108	0.6925486262
109	0.6922800363
110	0.6919016686
111	0.6915854898
112	0.6909085483
113	0.6907159301
114	0.6904283424
115	0.6899878711
116	0.6896632953
117	0.6893233044
118	0.6890800395
119	0.6885311677
120	0.6882924908
121	0.6877337959
122	0.6875022368
123	0.6873191552
124	0.6870794024
125	0.6865460471
126	0.6860343538
127	0.6857663139
128	0.6854905337
129	0.6849552915
130	0.6845024038
131	0.684279199
132	0.6840601718
133	0.6837429035
134	0.6835842215
135	0.6833934716
136	0.6831811638
137	0.682951858
138	0.682726934
139	0.6825900397
140	0.6821092589
141	0.681645239
142	0.6814975914
143	0.6812641265
144	0.6809453613
145	0.6807111247
146	0.6804801478
147	0.6803082171
148	0.680116808
149	0.6798246702
150	0.6796321956
151	0.6794661825
152	0.6792913113
153	0.6790695796
154	0.6789445539
155	0.6788304282
156	0.6785927168
157	0.6784561193
158	0.6783258905
159	0.6781292646
160	0.677999686
161	0.6777824309
162	0.677700816
163	0.677612453
164	0.6773632059
165	0.6771841052
166	0.677076158
167	0.6769615948
168	0.6768395637
169	0.6766913694
170	0.6765736729
171	0.6763984815
172	0.6763163911
173	0.6761794199
174	0.6760615314
175	0.6757861296
176	0.6756219593
177	0.6753130255
178	0.6751474491
179	0.6749718619
180	0.6748150929
181	0.6746807913
182	0.6745765734
183	0.6744849354
184	0.6743774368
185	0.6742373087
186	0.6741373566
187	0.6740360426
188	0.6739580383
189	0.6738353938
190	0.6735753774
191	0.6734869852
192	0.673357952
193	0.6731469509
194	0.6730805724
195	0.6729205103
196	0.6728359778
197	0.6727313964
198	0.672408932
199	0.6722906818
200	0.6719944413
201	0.6718621748
202	0.6717496661
203	0.6716692415
204	0.6715637417
205	0.6714893493
206	0.6713396589
207	0.6712661086
208	0.6709963449
209	0.6708998311
210	0.670762408
211	0.6706650371
212	0.6705593132
213	0.6704102763
214	0.6702780308
215	0.6702151599
216	0.6700066483
217	0.6697199765
218	0.6696488598
219	0.6695668668
220	0.6694620082
221	0.6693627814
222	0.6692707855
223	0.6689986526
224	0.6689068977
225	0.668838415
226	0.6687630862
227	0.6686818463
228	0.6685952371
229	0.6684378699
230	0.6683596916
231	0.6682668232
232	0.6681564635
233	0.6680759484
234	0.6680153863
235	0.6678623016
236	0.6677642798
237	0.667679548
238	0.6675717106
239	0.6674718168
240	0.6673591311
241	0.6672574129
242	0.6670619356
243	0.6669268277
244	0.6666743258
245	0.6665938527
246	0.6665340822
247	0.6664426611
248	0.666368432
249	0.6662003039
250	0.666086463
251	0.6660500648
252	0.665816587
253	0.6657292549
254	0.6656131165
255	0.665537568
256	0.6654504862
257	0.6653809016
258	0.6653261487
259	0.6652797107
260	0.6651459863
261	0.6650573401
262	0.6650043643
263	0.6649434147
264	0.6648961219
265	0.6648122874
266	0.6647396453
267	0.664676307
268	0.6645689552
269	0.6644591037
270	0.6644120004
271	0.6642028509
272	0.6640854607
273	0.6640262818
274	0.6639816013
275	0.6637788815
276	0.6637073616
277	0.6636572951
278	0.6635772443
279	0.6634843367
280	0.6634305288
281	0.6632206881
282	0.6631611897
283	0.6630988878
284	0.6630253118
285	0.6629722443
286	0.6629371972
287	0.6628982374
288	0.6628304044
289	0.6627760622
290	0.6626936739
291	0.6626154377
292	0.6625411626
293	0.6625056742
294	0.6624430443
295	0.6623823355
296	0.6623292361
297	0.6622340284
298	0.6621631375
299	0.6621208579
