iter	Passed	Remaining
0	21	10848
1	38	9581
2	56	9331
3	71	8905
4	89	8833
5	105	8672
6	120	8497
7	135	8357
8	153	8347
9	168	8266
10	185	8232
11	201	8205
12	217	8133
13	236	8199
14	258	8362
15	278	8423
16	297	8445
17	313	8391
18	328	8309
19	346	8315
20	364	8308
21	381	8282
22	397	8246
23	413	8205
24	430	8184
25	447	8158
26	468	8211
27	491	8278
28	509	8282
29	527	8271
30	544	8242
31	562	8223
32	578	8188
33	594	8152
34	609	8097
35	625	8064
36	642	8042
37	664	8075
38	687	8125
39	705	8117
40	721	8079
41	738	8049
42	757	8047
43	772	8005
44	791	8005
45	808	7978
46	825	7953
47	840	7918
48	857	7895
49	873	7857
50	891	7844
51	907	7815
52	921	7771
53	937	7741
54	954	7725
55	973	7720
56	989	7689
57	1003	7643
58	1018	7611
59	1033	7576
60	1051	7569
61	1069	7553
62	1091	7573
63	1112	7579
64	1134	7594
65	1157	7610
66	1179	7622
67	1199	7620
68	1218	7609
69	1240	7620
70	1264	7642
71	1290	7669
72	1314	7686
73	1337	7699
74	1357	7694
75	1377	7683
76	1406	7725
77	1437	7778
78	1464	7806
79	1486	7804
80	1507	7798
81	1528	7789
82	1546	7769
83	1562	7739
84	1579	7712
85	1597	7688
86	1611	7650
87	1628	7624
88	1644	7593
89	1661	7570
90	1677	7537
91	1699	7538
92	1724	7544
93	1753	7571
94	1772	7556
95	1790	7536
96	1807	7508
97	1823	7481
98	1840	7453
99	1855	7423
100	1872	7396
101	1890	7375
102	1906	7347
103	1924	7328
104	1940	7299
105	1956	7273
106	1975	7255
107	1992	7232
108	2009	7207
109	2027	7189
110	2042	7158
111	2060	7136
112	2075	7109
113	2095	7095
114	2108	7059
115	2124	7032
116	2141	7011
117	2158	6986
118	2174	6963
119	2195	6953
120	2211	6927
121	2229	6908
122	2245	6883
123	2261	6858
124	2277	6832
125	2293	6808
126	2308	6780
127	2323	6751
128	2339	6728
129	2354	6702
130	2374	6689
131	2393	6672
132	2412	6655
133	2429	6635
134	2446	6615
135	2462	6591
136	2480	6572
137	2500	6559
138	2522	6551
139	2541	6535
140	2559	6516
141	2575	6493
142	2598	6487
143	2617	6471
144	2633	6447
145	2648	6422
146	2663	6396
147	2680	6375
148	2697	6353
149	2713	6331
150	2729	6308
151	2746	6288
152	2761	6263
153	2779	6244
154	2800	6233
155	2818	6214
156	2834	6191
157	2848	6166
158	2866	6148
159	2882	6124
160	2899	6105
161	2916	6084
162	2934	6067
163	2949	6043
164	2963	6017
165	2980	5997
166	3001	5985
167	3022	5973
168	3038	5951
169	3054	5929
170	3069	5905
171	3085	5883
172	3103	5865
173	3119	5844
174	3135	5822
175	3151	5801
176	3165	5776
177	3182	5756
178	3203	5745
179	3223	5730
180	3238	5708
181	3255	5688
182	3272	5668
183	3290	5650
184	3307	5631
185	3325	5613
186	3341	5592
187	3358	5573
188	3374	5553
189	3393	5537
190	3413	5522
191	3430	5503
192	3444	5479
193	3461	5459
194	3478	5440
195	3496	5423
196	3510	5400
197	3527	5380
198	3543	5359
199	3558	5338
200	3573	5315
201	3590	5297
202	3608	5279
203	3629	5266
204	3646	5247
205	3661	5226
206	3677	5205
207	3696	5189
208	3712	5169
209	3730	5152
210	3747	5132
211	3763	5112
212	3779	5092
213	3796	5073
214	3813	5055
215	3833	5040
216	3851	5022
217	3867	5003
218	3884	4984
219	3901	4965
220	3918	4947
221	3935	4928
222	3951	4908
223	3968	4890
224	3985	4871
225	4001	4851
226	4021	4836
227	4040	4820
228	4057	4801
229	4074	4782
230	4089	4762
231	4104	4741
232	4122	4723
233	4138	4704
234	4153	4683
235	4169	4664
236	4186	4646
237	4203	4627
238	4221	4609
239	4237	4591
240	4257	4575
241	4274	4556
242	4288	4535
243	4306	4518
244	4322	4499
245	4338	4479
246	4353	4459
247	4369	4440
248	4387	4422
249	4404	4404
250	4419	4384
251	4438	4367
252	4455	4349
253	4474	4333
254	4490	4314
255	4507	4295
256	4524	4278
257	4541	4259
258	4557	4240
259	4573	4221
260	4588	4201
261	4606	4184
262	4623	4166
263	4640	4148
264	4658	4131
265	4677	4114
266	4694	4096
267	4712	4079
268	4728	4060
269	4744	4041
270	4760	4023
271	4776	4003
272	4793	3985
273	4808	3966
274	4824	3947
275	4841	3929
276	4859	3912
277	4877	3895
278	4895	3877
279	4910	3858
280	4929	3841
281	4944	3822
282	4959	3802
283	4973	3782
284	4990	3764
285	5006	3746
286	5023	3728
287	5038	3709
288	5057	3692
289	5075	3675
290	5092	3657
291	5108	3638
292	5126	3621
293	5141	3602
294	5157	3583
295	5171	3563
296	5187	3545
297	5204	3527
298	5220	3509
299	5235	3490
300	5252	3472
301	5268	3454
302	5289	3439
303	5305	3420
304	5322	3403
305	5340	3385
306	5357	3368
307	5371	3348
308	5389	3331
309	5404	3312
310	5422	3295
311	5437	3276
312	5453	3258
313	5467	3238
314	5485	3221
315	5505	3205
316	5522	3187
317	5537	3169
318	5553	3151
319	5571	3133
320	5588	3116
321	5605	3098
322	5622	3080
323	5637	3062
324	5652	3043
325	5667	3024
326	5681	3005
327	5698	2988
328	5716	2971
329	5733	2953
330	5748	2934
331	5764	2916
332	5779	2898
333	5794	2879
334	5809	2861
335	5826	2843
336	5841	2825
337	5857	2807
338	5872	2788
339	5888	2771
340	5905	2753
341	5924	2737
342	5942	2719
343	5958	2702
344	5974	2684
345	5990	2666
346	6005	2648
347	6021	2630
348	6037	2612
